"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","local_code"
"336107","ZUGZ","small_airport","Garze Gesar Airport","31.7575","99.554167","","AS","CN","CN-51","Garze County","yes","ZUGZ","GZG"
"300512","ZUJZ","medium_airport","Jiuzhai Huanglong Airport","32.8533333333","103.682222222","11327","AS","CN","CN-51","Jiuzhaigou","yes","ZUJZ",""
"327350","ZUKD","medium_airport","Kangding Airport","30.142464","101.73872","14042","AS","CN","CN-51","Kangding","yes","ZUKD",""
"313427","ZUKJ","medium_airport","Kaili Airport","26.972","107.988","3115","AS","CN","CN-52","Huangping","yes","ZUKJ",""
"327351","ZULB","small_airport","Libo Airport","25.4525","107.961667","","AS","CN","CN-52","Libo County","no","ZULB",""
"31819","ZULP","small_airport","Liangping Airport","30.679399","107.786003","","AS","CN","CN-50","Liangping","no","ZULP",""
"31867","ZULS","medium_airport","Lhasa Gonggar Airport","29.2978000641","90.91190338130000","11713","AS","CN","CN-54","Lhasa","yes","ZULS",""
"35313","ZULZ","closed","Luzhou Lantian Airport","28.8522","105.392998","","AS","CN","CN-51","Luzhou","no","ZULZ",""
"308767","ZUMH","small_airport","Öndörkhaan Airport","47.30486","110.6092","3410","AS","MN","MN-039","Öndörkhaan","no","ZMUH",""
"327355","ZUMT","medium_airport","Zunyi Maotai Airport","27.81638","106.33268","4068","AS","CN","CN-52","Zunyi","yes","ZUMT",""
"31908","ZUMY","medium_airport","Mianyang Airport","31.4281005859375","104.74099731445300","","AS","CN","CN-51","Mianyang","yes","ZUMY",""
"32003","ZUNC","small_airport","Nanchong Gaoping Airport","30.79545","106.1626","1145","AS","CN","CN-51","Nanchong","yes","ZUNC",""
"308782","ZUNP","medium_airport","Liping Airport","26.32217","109.1499","1620","AS","CN","CN-52","Liping","yes","ZUNP",""
"31876","ZUNZ","medium_airport","Nyingchi Airport","29.303300857543900","94.33529663085940","9675","AS","CN","CN-54","Nyingchi","yes","ZUNZ",""
"327352","ZUPS","medium_airport","Liupanshui Yuezhao Airport","26.609417","104.979","","AS","CN","CN-52","Liupanshui","yes","ZUPS",""
"323880","ZUSN","small_airport","Suining Airport","30.471295","105.610925","","AS","CN","CN-51","Suining","no","ZUSN",""
"300514","ZUTC","medium_airport","Tengchong Tuofeng Airport","24.9380555556","98.48583333330000","6250","AS","CN","CN-53","Tengchong","yes","ZUTC",""
"302314","ZUTR","small_airport","Tongren Fenghuang Airport","27.883333","109.308889","","AS","CN","CN-52","","no","ZUTR",""
"27230","ZUUU","large_airport","Chengdu Shuangliu International Airport","30.578500747680700","103.9469985961910","1625","AS","CN","CN-51","Chengdu","yes","ZUUU",""
"336105","ZUWS","small_airport","Chongqing Wushan Airport","31.06896","109.708958","","AS","CN","CN-50","Wushan","yes","ZUWS","WSK"
"32688","ZUWX","small_airport","Wanxian Airport","30.8017","108.433","","AS","CN","CN-50","Wanxian","yes","ZUWX",""
"27231","ZUXC","medium_airport","Xichang Qingshan Airport","27.989099502563500","102.18399810791000","5112","AS","CN","CN-51","Xichang","yes","ZUXC",""
"300456","ZUYB","small_airport","Yibin Caiba Airport","28.8005555556","104.545","924","AS","CN","CN-51","Yibin","no","ZUYB",""
"301647","ZUYI","medium_airport","Xingyi Airport","25.0863888889","104.959444444","4150","AS","CN","CN-52","Xingyi","yes","ZUYI",""
"308403","ZUZY","medium_airport","Zunyi Xinzhou Airport","27.5895","107.0007","2920","AS","CN","CN-52","Zunyi","yes","ZUZY",""
"318468","ZW-0001","small_airport","Matetsi Airport","-18.498899","25.918628","","AF","ZW","ZW-MN","Matetsi","no","",""
"318469","ZW-0002","small_airport","Sinamatella Camp Airport","-18.576311","26.320678","","AF","ZW","ZW-MN","Sinamatella Camp","no","",""
"318953","ZW-0003","small_airport","Tilbury Airport","-19.906934","32.969636","","AF","ZW","ZW-MA","Tilbury","no","",""
"318987","ZW-0004","small_airport","Bridge Camp Airstrip","-21.247388","31.908657","","AF","ZW","ZW-MV","","no","",""
"318988","ZW-0005","small_airport","Boli Airport","-21.532188","31.476691","","AF","ZW","ZW-MV","Boli","no","",""
"318990","ZW-0006","small_airport","Malipati Airport","-22.063618","31.436257","","AF","ZW","ZW-MV","Malipati","no","",""
"318991","ZW-0007","small_airport","Makado Airport","-21.456959","29.7175","","AF","ZW","ZW-MS","Makado","no","",""
"318992","ZW-0008","small_airport","Towla Airport","-21.440873","29.883056","","AF","ZW","ZW-MS","Towla","no","",""
"318993","ZW-0009","small_airport","West Nicholson Airport","-21.048952","29.353583","","AF","ZW","ZW-MS","West Nicholson","no","",""
"318994","ZW-0010","small_airport","Belingwe Airport","-20.522514","29.876149","","AF","ZW","ZW-MI","Belingwe","no","",""
"318995","ZW-0011","small_airport","Hwali Airport","-21.679911","29.218657","","AF","ZW","ZW-MS","Hwali","no","",""
"318996","ZW-0012","small_airport","Mwenezi Airport","-21.431546","30.734302","","AF","ZW","ZW-MV","Mwenezi","no","",""
"318999","ZW-0013","small_airport","Lupane Airport","-18.927645","27.806533","","AF","ZW","ZW-MN","Lupane","no","",""
"319000","ZW-0014","small_airport","Nkayi Airport","-18.999493","28.89743","","AF","ZW","ZW-MN","Nkayi","no","",""
"319001","ZW-0015","small_airport","Maronga Airport","-16.855435","28.427123","","AF","ZW","ZW-MW","","no","",""
"319002","ZW-0016","small_airport","Chete Airport","-17.050324","28.001822","","AF","ZW","ZW-MN","","no","",""
"319003","ZW-0017","small_airport","Lake Kariba Airport","-17.345659","27.635","","AF","ZW","ZW-MN","","no","",""
"319004","ZW-0018","small_airport","Sijarira Lodge Airstrip","-17.51631","27.500593","","AF","ZW","ZW-MN","","no","",""
"319007","ZW-0019","small_airport","Manjolo Airport","-17.814685","27.171634","","AF","ZW","ZW-MN","","no","",""
"319008","ZW-0020","small_airport","Chigwell Airport","-18.16483","29.965823","","AF","ZW","ZW-MW","Chigwell","no","",""
